,title,categories,averageRating,publishedDate
867,Claudia and mean Janine : a graphic novel,Juvenile Fiction,4.5,2016.0
868,When you find out the world is against you : and other funny memories about awful moments,Biography & Autobiography,4.0,2017.0
869,A man called Ove : a novel,Fiction,4.5,2014.0
870,"Everything, everything",Young Adult Fiction,4.0,2015.0
871,16th seduction,Fiction,4.5,2017.0
872,Never never,Fiction,3.5,2017.0
873,Come Sundown ,Fiction,4.0,2017.0
874,Camino Island ,Fiction,3.5,2018.0
875,The woman in cabin 10,Fiction,3.5,2016.0
876,Into the water,Fiction,3.0,2018.0
877,The stranger in the woods : the extraordinary story of the last true hermit,Biography & Autobiography,4.0,2017.0
878,The handmaid's tale,Fiction,4.0,2019.0
879,The dark prophecy,Juvenile Fiction,4.0,2017.0
880,"Option B : facing adversity, building resilience, and finding joy",Biography & Autobiography,4.0,2017.0
881,Before I fall,Young Adult Fiction,4.0,2011.0
882,The girl before : a novel,Fiction,3.5,2017.0
883,The black book,Social Science,5.0,2009.0
884,The zookeeper's wife : a war story,History,3.5,2013.0
885,Thirteen reasons why : a novel,Young Adult Fiction,3.5,2011.0
886,You are a badass : how to stop doubting your greatness and start living an awesome life,Self-Help,4.0,2013.0
887,Anything is possible,Fiction,4.0,2017.0
888,The lonely hearts hotel,Fiction,3.5,2017.0
889,Skinnytaste fast and slow : knockout quick-fix and slow cooker recipes,Cooking,5.0,2016.0
890,Head strong : the bulletproof plan to activate untapped brain energy to work smarter and think faster--in just two weeks,Self-Help,5.0,2017.0
891,Against all odds : a novel,Fiction,4.0,2017.0
892,My not so perfect life : a novel,Fiction,4.0,2017.0
893,The break,Fiction,4.5,2003.0
894,The women in the castle,Fiction,4.0,2017.0
895,"The right to be cold : one woman's story of protecting her culture, the Arctic, and the whole planet",Biography & Autobiography,4.0,2015.0
896,The war that saved my life,Juvenile Fiction,4.5,2016.0
897,The blackthorn key,Juvenile Fiction,4.0,2018.0
898,Son of a trickster,Fiction,4.0,2011.0
899,Right behind you,Fiction,4.0,2017.0
900,Dog Man unleashed,Juvenile Fiction,5.0,2019.0
901,Sapiens : a brief history of humankind,History,4.0,2014.0
902,"Naturally nourished : healthy, delicious meals made with everyday ingredients",Cooking,3.5,2017.0
903,The Gustav sonata,Fiction,4.0,2016.0
904,My Italian bulldozer,Fiction,4.0,2017.0
905,Hidden figures : the American dream and the untold story of the black women mathematicians who helped win the space race,History,3.5,2016.0
906,Company town,Fiction,3.5,2011.0
907,Grinding it out : the making of McDonald's,Biography & Autobiography,4.5,2016.0
908,"Tools of titans : the tactics, routines, and habits of billionaires, icons, and world-class performers",Business & Economics,4.5,2016.0
909,Swimming lessons,Fiction,4.0,2017.0
910,The orphan's tale,Fiction,4.0,2017.0
911,This I know : marketing lessons from Under the influence,Business & Economics,5.0,2018.0
912,The wrath & the dawn,Young Adult Fiction,4.5,2016.0
913,Embers : one Ojibway's meditations,"Body, Mind & Spirit",4.5,2016.0
914,A long way home,Biography & Autobiography,5.0,2014.0
915,Kill the next one,Fiction,3.5,2016.0
916,Camino Island,Fiction,3.5,2018.0
917,Come sundown,Fiction,4.0,2017.0
918,Rich people problems : a novel,Fiction,3.5,2019.0
919,"Clutterfree with kids : change your thinking, discover new habits, free your home",Family & Relationships,1.0,2014.0
920,American gods,Fiction,4.0,2001.0
921,Astrophysics for people in a hurry,Science,4.5,2017.0
922,Dangerous Minds ,Biography & Autobiography,5.0,2018.0
923,Beartown : a novel,Fiction,4.0,2017.0
924,The fact of a body : a murder and a memoir,True Crime,4.0,2017.0
925,"Art of the pie : a practical guide to homemade crusts, fillings, and life",Cooking,5.0,2016.0
926,Japanese for dummies,Foreign Language Study,5.0,2018.0
927,No easy target,Fiction,3.5,2017.0
928,I found you : a novel,Fiction,4.0,2013.0
929,The Berenstain Bears and the tooth fairy,Juvenile Fiction,5.0,2012.0
930,Smile,Fiction,4.5,2014.0
931,No middle name : the complete collected Jack Reacher short stories,Fiction,3.5,2018.0
932,Dying breath,Fiction,4.0,2017.0
933,Late Show ,Fiction,4.0,2017.0
934,The thirst,Fiction,4.0,2017.0
935,The shack : where tragedy confronts eternity : a novel,Fiction,3.5,2008.0
936,The three ninja pigs,Juvenile Fiction,3.5,2012.0
937,Dangerous minds,Biography & Autobiography,5.0,2018.0
938,Illusion,Medical,4.0,2017.0
939,The ministry of utmost happiness,Fiction,3.5,2018.0
940,A queer and pleasant danger : a memoir,Biography & Autobiography,4.0,2012.0
941,Harry Potter and the goblet of fire,Juvenile Fiction,4.5,2020.0
942,Hunger : a memoir of (my) body,Biography & Autobiography,4.0,2017.0
943,"The plant paradox : the hidden dangers in ""healthy"" foods that cause disease and weight gain",Health & Fitness,2.5,2019.0
944,"Earls the cookbook : eat a little, eat a lot, 110 of your favourite recipes",Cooking,3.5,2016.0
945,Au hasard la chance : roman,Literary Criticism,4.0,2008.0
946,One day we'll all be dead and none of this will matter,Social Science,4.0,2017.0
947,Murder games,Fiction,4.0,2017.0
948,No is not enough : resisting the new shock politics and winning the world we need,Political Science,4.0,2017.0
949,Wired,Social Science,5.0,2005.0
950,A dog's purpose,Fiction,4.0,2010.0
951,"The lose your belly diet : change your gut, change your life",Health & Fitness,5.0,2016.0
952,"Driver's guide to operation, safety and licensing : cars & light trucks",Automobile driving,,2016.0
953,How to be a bawse : a guide to surviving [crossed out] conquering life,Biography & Autobiography,5.0,2017.0
954,Nighthawk : [a novel from the NUMA files],Fiction,4.5,2017.0
955,Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man ,Juvenile Fiction,4.0,2017.0
956,What she knew,Fiction,4.0,2015.0
957,Globalization : a very short introduction,Business & Economics,5.0,2010.0
958,The little book of hygge : the Danish way to live well,Self-Help,3.5,2017.0
959,Since we fell,Fiction,3.5,2017.0
960,Lincoln in the Bardo : a novel,Fiction,4.0,2017.0
961,Confessions of a domestic failure,Fiction,3.5,2017.0
962,Rich People Problems ,Fiction,3.5,2017.0
963,Warcross ,Young Adult Fiction,4.0,2018.0
964,In a dark dark wood,Fiction,3.5,2015.0
965,The adventures of Captain Underpants : the first epic novel,Juvenile Fiction,5.0,2013.0
966,Plutocrats : the rise of the new global super-rich and the fall of everyone else,Business & Economics,3.0,2012.0
967,Blackflies,Fiction,4.0,2017.0
968,103 Family Favorite Casserole Recipes ,Cooking,,2017.0
969,Crazy rich Asians,Fiction,3.5,2018.0
970,Move your DNA,Health & Fitness,,2015.0
971,My friend is sad,Children's stories,4.0,2007.0
972,Shark Lady ,Juvenile Nonfiction,,2017.0
973,Should I share my ice cream?,Elephants,5.0,2011.0
974,The Marsh King's daughter,Fiction,5.0,2017.0
975,The secret life of fat : the science behind the body's least understood organ and what it means for you,Health & Fitness,4.5,2016.0
976,The spooky cabin,Juvenile Fiction,4.0,2017.0
977,There is a bird on your head!,Juvenile Fiction,5.0,2008.0
978,A ghostly light,Fiction,4.0,2017.0
979,"Always and forever, Lara Jean",Young Adult Fiction,4.0,2017.0
980,"Dear Ijeawele, : or, A feminist manifesto in fifteen suggestions",Social Science,4.0,2017.0
981,Once upon a spine,Fiction,4.0,2018.0
982,Radical candor : be a kickass boss without losing your humanity,Business & Economics,4.0,2017.0
983,"Same beach, next year : a novel",Fiction,3.5,2017.0
984,Skillet suppers : 65 delicious recipes,Cooking,5.0,2017.0
985,Undaunted,Biography & Autobiography,4.0,2005.0
986,Harry Potter and the philosopher's stone [large print],Juvenile Fiction,4.5,2015.0
987,Harry Potter and the prisoner of Azkaban,Juvenile Fiction,4.5,1999.0
988,Hostage,Fiction,4.0,2012.0
989,"If I understood you, would I have this look on my face? : my adventures in the art and science of relating and communicating",Interpersonal communication,4.0,2017.0
990,Little sister : a novel,Fiction,4.0,2019.0
991,Passage across the Mersey,Biography & Autobiography,4.0,2012.0
992,The curated closet : a simple system for discovering your personal style and building your dream wardrobe,Self-Help,4.0,2016.0
993,The people at number 9,Fiction,4.0,2017.0
994,This is just my face : try not to stare,Biography & Autobiography,4.0,2017.0
995,A man called Ove [large print],Fiction,4.0,2017.0
996,"The keto diet : the complete guide to a high-fat diet : with more than 125 delectable recipes and 5 meal plans to shed weight, heal your body & regain confidence",Cooking,,2017.0
997,The zookeeper's wife [large print] : a war story,History,3.5,2017.0
998,Vimy : the battle and the legend,History,4.0,2018.0
999,A darkness absolute,Fiction,4.0,2017.0
1000,Down a Dark Road ,Fiction,4.5,2017.0
1001,Finding Gobi : a little dog with a very big heart,Pets,4.0,2017.0
1002,Men without women : stories,Fiction,3.5,2017.0
1003,My lovely wife in the psych ward : a memoir,Biography & Autobiography,4.0,2017.0
1004,The 5 love languages : the secret to love that lasts,Family & Relationships,4.5,2014.0
1005,Called to Rise ,History,4.0,2014.0
1006,Everyone's a Aliebn When Ur a Aliebn Too ,Comics & Graphic Novels,4.0,2017.0
1007,Reason You're Alive ,Fiction,3.5,2017.0
1008,Secrets of the millionaire mind : mastering the inner game of wealth,Business & Economics,4.0,2019.0
1009,Sleeping in the Ground ,Fiction,4.0,2017.0
1010,"Structures, or, Why things don't fall down",Technology & Engineering,4.0,2012.0
1011,The 500 hats of Bartholomew Cubbins,Juvenile Fiction,3.5,2013.0
1012,The year of living Danishly : uncovering the secrets of the world's happiest country,Travel,4.0,2015.0
1013,You are a badass at making money : master the mindset of wealth,Self-Help,5.0,2017.0
1014,"Fat for fuel : a revolutionary diet to combat cancer, boost brain power, and increase your energy",Health & Fitness,4.0,2017.0
1015,One brother shy : a novel,Fiction,4.0,2010.0
1016,The 30 day ketogenic cleanse : reset your metabolism with 160 tasty whole-food recipes & a guided meal plan,Cooking,5.0,2017.0
1017,The god of small things,Fiction,4.5,2002.0
1018,"The Nordic guide to living 10 years longer : 10 easy tips for a happier, healthier life",Health & Fitness,3.0,2017.0
1019,The total money makeover : a proven plan for financial fitness,Business & Economics,4.5,2013.0
1020,It,Fiction,4.0,2001.0
1021,Testimony,Religion,4.0,2005.0
1022,Big Nate: A Good Old-Fashioned Wedgie ,Juvenile Fiction,4.0,2017.0
1023,Dangerous games : a novel,Fiction,4.0,2017.0
1024,The arrangement : a novel,Fiction,4.0,1967.0
1025,The black book [large print],Fiction,5.0,2018.0
1026,The burial hour,Fiction,3.5,2017.0
1027,Magpie murders,Fiction,4.0,2017.0
1028,The Alice network,Fiction,4.0,2019.0
1029,"The Baby-sitters Club. 1, Kristy's great idea : a graphic novel",Juvenile Fiction,4.0,2015.0
1030,The last Neanderthal : a novel,Fiction,4.0,2017.0
1031,Before we were yours : a novel,Fiction,4.5,2017.0
1032,Outlander,Fiction,4.0,2010.0
1033,"Bitch planet. Book two, President bitch",Comics & Graphic Novels,5.0,2017.0
1034,Dr. Gundry's diet evolution : turn off the genes that are killing you and your waistline,Health & Fitness,4.5,2019.0
1035,Kafka on the shore,Fiction,4.0,2006.0
1036,Love story : a novel,Fiction,3.0,2019.0
1037,Shattered : inside Hillary Clinton's doomed campaign,Biography & Autobiography,3.5,2017.0
1038,The first mess cookbook : vibrant plant-based recipes to eat well through the seasons,Cooking,3.5,2017.0
1039,The lost hero,Juvenile Fiction,4.5,2011.0
1040,Bad feminist : essays,Social Science,3.5,2014.0
1041,Breakdown ,Fiction,4.0,2017.0
1042,Fairy Tail. 59,Comics & Graphic Novels,4.0,2019.0
1043,Fairy Tail. 60,Comics & Graphic Novels,4.0,2017.0
1044,Gaia's garden : a guide to home-scale permaculture,Gardening,5.0,2009.0
1045,"Key: Diploma Preparation Guide, Alberta English 30-2","Education, Secondary",4.5,2003.0
1046,Midnight jewel,Young Adult Fiction,4.5,2017.0
1047,New Legal Thriller ,Fiction,4.0,2019.0
1048,Scandal in Battersea ,Fiction,3.5,2013.0
1049,Captain Underpants and the wrath of the Wicked Wedgie Woman : the fifth epic novel,Juvenile Fiction,5.0,2013.0
1050,"Girling up : how to be strong, smart and spectacular",Young Adult Nonfiction,4.0,2017.0
1051,Goodnight from London : a novel,Fiction,4.0,2017.0
1052,Harry Potter and the Deathly Hallows,Juvenile Fiction,4.5,2011.0
1053,"Too fat, too slutty, too loud : the rise and reign of the unruly woman",Social Science,4.0,2017.0
1054,What Alice forgot,Fiction,4.0,2011.0
1055,Golden prey,Fiction,4.0,2017.0
1056,Lying Game ,Juvenile Fiction,3.5,2011.0
1057,The child,Fiction,4.0,2017.0
1058,The late show,Fiction,4.0,2017.0
1059,The seven husbands of Evelyn Hugo : a novel,Fiction,4.0,2017.0
1060,Theft by finding : diaries (1977-2002),Humor,3.5,2017.0
1061,Dragon teeth : a novel,Fiction,4.0,2017.0
1062,Feast : recipes and stories from a Canadian road trip,Cooking,,2017.0
1063,How to win friends and influence people,Self-Help,4.0,2018.0
1064,King's cage,Young Adult Fiction,4.0,2017.0
1065,Local girl missing : a novel,Fiction,3.5,2016.0
1066,On tyranny : twenty lessons from the twentieth century,Political Science,4.5,2017.0
1067,The identicals : a novel,Fiction,3.5,2017.0
1068,Two Nights ,Fiction,3.0,2017.0
1069,"Food52 mighty salads : 60 new ways to turn salad into dinner-and make-ahead lunches, too",Cooking,3.5,2017.0
1070,Get your sh*t together : how to stop worrying about what you should do so you can finish what you need to do and start doing what you want to do,Self-Help,3.0,2016.0
1071,House of names,Fiction,4.0,2017.0
1072,I can't make this up : life lessons,Biography & Autobiography,4.5,2017.0
1073,"Next year, for sure : a novel",Fiction,4.5,2017.0
1074,"The adrenal thyroid revolution : a proven 4-week program to rescue your metabolism, hormones, mind & mood",Health & Fitness,3.0,2017.0
1075,The knowledge illusion : why we never think alone,Psychology,3.5,2017.0
1076,The weekend effect : the life-changing benefits of taking time off and challenging the cult of overwork,Fiction,3.0,2018.0
1077,Munich,Munich (Germany),3.5,2006.0
1078,Every last lie,Fiction,2.5,2017.0
1079,Exit west : a novel,Fiction,1.0,2017.0
1080,The gifts of imperfection : let go of who you think you're supposed to be and embrace who you are,Self-Help,4.0,2015.0
1081,Crazy house,Young Adult Fiction,4.0,2017.0
1082,Flame in the mist,Young Adult Fiction,3.5,2017.0
1083,Medical medium life-changing foods : save yourself and the ones you love with the hidden healing powers of fruits and vegetables,"Body, Mind & Spirit",3.5,2015.0
1084,Potty,Juvenile Fiction,4.0,2010.0
1085,The key : diploma preparation guide. English 30-1,Language arts (Secondary),,2003.0
1086,Still me,Fiction,4.0,2019.0
1087,Eleanor Oliphant is completely fine,Fiction,4.0,2018.0
1088,Forever painless : lasting relief through gentle movement,Health & Fitness,3.5,2014.0
1089,Glass Houses ,Fiction,4.5,2017.0
1090,Y is for Yesterday ,Fiction,3.5,2017.0
1091,50 percent of mountaineering is uphill : the life of Canadian mountain rescue pioneer Willi Pfisterer,,,
1092,Camino Island [large print],,,
1093,Secrets in Death ,Fiction,4.0,2017.0
1094,The duchess : a novel,Fiction,5.0,2017.0
1095,The empath's survival guide : life strategies for sensitive people,,,
1096,The fix [large print],,,
1097,The rules do not apply : a memoir,,,
1098,You don't have to say you love me : a memoir,Biography & Autobiography,4.0,2017.0
1099,You will pay,Fiction,3.5,2018.0
1100,"Keto clarity : your definitive guide to the benefits of a low-carb, high-fat diet",Health & Fitness,5.0,2018.0
1101,Let the Dead Speak ,Fiction,4.0,2017.0
1102,"No-bake desserts : 103 easy recipes for no-bake cookies, bars, and treats",Cooking,,2017.0
1103,Nostalgia : a novel,Fiction,4.0,2005.0
1104,"One-pan wonders : fuss-free meals for your sheet pan, dutch oven, skillet, roasting pan, casserole, and slow cooker",Cooking,4.5,2017.0
1105,Shark lady : the true story of how Eugenie Clark became the ocean's most fearless scientist,Juvenile Nonfiction,4.0,2018.0
1106,Too hot to touch,Fiction,3.0,2011.0
1107,"Trafficked : my story of surviving, escaping, and transcending abduction into prostitution",Biography & Autobiography,4.5,2012.0
1108,Haunted ,Fiction,3.0,2000.0
1109,He said/she said,Fiction,4.0,2019.0
1110,Seeing red ,Social Science,4.0,2011.0
1111,The Lost City of the Monkey God : a true story,History,4.0,2017.0
1112,Tokyo ghoul. 12,Comics & Graphic Novels,4.0,2017.0
1113,In this moment,Fiction,3.0,2017.0
1114,Never let you go,Fiction,4.0,2017.0
1115,Take out,,,
1116,The girl who knew too much,Fiction,3.5,2017.0
1117,"The one-minute workout : science shows a way to get fit that's smarter, faster, shorter",,,
1118,When the body says no : the cost of hidden stress,Health & Fitness,4.0,2011.0
1119,House of spies,Fiction,3.0,2017.0
1120,One perfect lie,Fiction,4.0,2017.0
1121,The lightning thief,Juvenile Fiction,4.0,2009.0
1122,The ship of secrets : the tenth adventure in the Kingdom of Fantasy,Juvenile Fiction,5.0,2017.0
1123,The silent corner : a novel of suspense,Fiction,3.5,2017.0
1124,"Be here now, remember","Body, Mind & Spirit",4.5,2010.0
1125,Florence in ecstasy : a novel,Fiction,4.0,2017.0
1126,Spaceman of Bohemia,Fiction,4.0,2017.0
1127,The Chilbury Ladies' Choir : a novel,Fiction,4.0,2017.0
1128,The foot book,Juvenile Fiction,4.0,2016.0
1129,The gentleman's guide to vice and virtue,Young Adult Fiction,4.0,2018.0
1130,Wicked plants : the weed that killed Lincoln's mother & other botanical atrocities,Nature,3.5,2016.0
1131,A dark so deadly,Fiction,4.0,2017.0
1132,Difficult women,Fiction,4.0,2017.0
1133,Dragonfly in amber,Fiction,4.0,2010.0
1134,KEY - MATH 30-2,,,
1135,My favorite thing is monsters. Book one,Comics & Graphic Novels,4.0,2019.0
1136,Restart,,,
1137,Our little secret,,,
1138,Fierce Kingdom ,,,
1139,Homo deus : a brief history of tomorrow,History,5.0,2016.0
1140,I Know a Secret ,Fiction,4.5,2017.0
1141,Use of force : a thriller,Fiction,4.0,2019.0
1142,A gentleman in Moscow,,,
1143,The lightkeeper's daughters : a novel,Fiction,5.0,2017.0
1144,The only child : a novel,Fiction,4.0,2018.0
1145,The whistler [large print],Fiction,3.5,2017.0
1146,Unplug : a simple guide to meditation for busy skeptics and modern soul seekers,Self-Help,4.0,2017.0
1147,Unshakeable : your financial freedom playbook,Business & Economics,4.0,2017.0
1148,Blitzed : drugs in Nazi Germany,History,4.0,2017.0
1149,Ragged company,Fiction,3.5,2009.0
1150,The better angels of our nature : why violence has declined,Psychology,4.0,2012.0
1151,The land of stories. Worlds collide,,,
1152,"Food Can Fix It: the Proven Plan for Weight Loss, Disease Prevention, and Life-C ",Health & Fitness,4.0,2017.0
1153,Lord of shadows,Fiction,3.5,2017.0
1154,No one is coming to save us : a novel,Fiction,3.0,2018.0
1155,Quicksand,Fiction,4.0,2017.0
1156,The futures : a novel,Fiction,4.0,2017.0
1157,Good night stories for rebel girls : 100 tales of extraordinary women,,,
1158,Rituals ,,,
1159,"The Baby-sitters Club. 3, Mary Anne saves the day : a graphic novel",Juvenile Fiction,5.0,2015.0
1160,The plant paradox : the hidden dangers in healthy foods that cause disease and weight gain,Health & Fitness,2.5,2019.0
1161,Gwendy's button box,,,
1162,Store ,Business & Economics,4.0,1985.0
1163,Two nights : a novel,Fiction,4.0,2017.0
1164,Big Nate. Here goes nothing,Juvenile Fiction,4.5,2012.0
1165,"Goodbye, things : the new Japanese minimalism",House & Home,4.0,2017.0
1166,"Joyous detox : your complete plan and cookbook to be vibrant every day : 100 gluten-free, dairy-free, refined sugar-free, detox-friendly recipes",Cooking,5.0,2016.0
1167,Killers of the Flower Moon : the Osage murders and the birth of the FBI,History,4.0,2017.0
1168,The art of learning : a journey in the pursuit of excellence,Biography & Autobiography,4.0,2007.0
1169,Tokyo ghoul. 13,Comics & Graphic Novels,,2017.0
1170,We are never meeting in real life : essays,Humor,4.0,2017.0
1171,Stranger in the House ,Fiction,3.0,2017.0
1172,The land of stories. The wishing spell,Juvenile Fiction,4.0,2012.0
1173,Two Kinds of Truth ,Fiction,4.0,2017.0
1174,The mark of Athena,Juvenile Fiction,4.5,2012.0
1175,Enigma ,Fiction,4.0,2011.0
1176,The bright hour : a memoir of living and dying,,,
1177,The daughter,,,
1178,IELTS,,,
1179,Look behind you,Fiction,4.0,2017.0
1180,Seven stones to stand or fall : a collection of outlander fiction,Fiction,3.5,2017.0
1181,The land of stories. The Enchantress returns,,,
1182,After Anna,Fiction,3.5,2018.0
1183,Catching fire,Juvenile Fiction,4.0,2010.0
1184,Keto comfort foods : family favorite recipes made low-carb and healthy,Health & Fitness,5.0,2017.0
1185,Never never [large print],Fiction,,2010.0
1186,Quick keto meals in 30 minutes or less : 100 easy prep-and-cook low-carb recipes for maximum weight loss and improved health,Cooking,,2017.0
1187,The keto cookbook : innovative delicious meals for staying on the ketogenic diet,Cooking,4.0,2011.0
1188,The whole-brain child : 12 revolutionary strategies to nurture your child's developing mind,Family & Relationships,3.5,2012.0
1189,Kill or be killed [large print] : thrillers,Fiction,4.0,2017.0
1190,The finishing school : a novel,Fiction,4.0,2017.0
1191,The gunslinger,Fiction,3.5,2017.0
1192,Cambridge English complete IELTS bands 6.5-7.5 : student's book with answers,Foreign Language Study,,2013.0
1193,Common mistakes at IELTS advanced-- and how to avoid them,Foreign Language Study,4.0,2007.0
1194,"Conversations with God. Book 4, Awaken the species : a new and unexpected dialogue",Religion,3.0,2017.0
1195,Dynamic aging : simple exercises for whole-body mobility,,,
1196,Get ready for IELTS writing,,,
1197,Vancouver,,,
1198,"Al Franken, giant of the Senate",Biography & Autobiography,4.0,2017.0
1199,Between them : remembering my parents,,,
1200,Ready player one,Fiction,4.0,2011.0
1201,American War,Fiction,3.5,2017.0
1202,The book of joy : lasting happiness in a changing world,Self-Help,5.0,2016.0
1203,Big little lies [large print],Fiction,4.0,2018.0
1204,A court of wings and ruin,Young Adult Fiction,4.0,2017.0
1205,"Amulet. Book four, The last council",Brothers and sisters,3.5,2011.0
1206,A piece of the world : a novel,Fiction,4.0,2017.0
1207,A tree grows in Brooklyn,Fiction,4.5,2005.0
1208,Against all odds [large print] : a novel,Fiction,4.5,2005.0
1209,"Eat right 4 your type : the individualized blood type diet solution : 4 blood types, 4 diets",Health & Fitness,3.0,1996.0
1210,The kite runner,Fiction,4.0,2011.0
1211,The rise and fall of D.O.D.O.,Fiction,3.5,2017.0
1212,What every body is saying : an ex-FBI agent's guide to speed-reading people,Self-Help,4.0,2009.0
1213,"Canadian electrical code. Part I, Safety standard for electrical installations",,,
1214,The shadow district,Fiction,4.0,2017.0
1215,The force,Fiction,4.0,2006.0
1216,Behind closed doors,,,
1217,How to hygge : the Nordic secrets to a happy life,Cooking,3.5,2017.0
1218,Son of France : a Christopher Kruse novel,Fiction,3.5,2015.0
1219,Everybody's son : a novel,Fiction,4.0,2017.0
1220,I hear she's a real bitch,Biography & Autobiography,4.0,2017.0
1221,Instant Pot obsession : the ultimate electric pressure cooker cookbook for cooking everything fast,,,
1222,Solitude : a singular life in a crowded world,Psychology,4.5,2017.0
1223,The dry,,,
1224,The leavers : a novel,Fiction,3.0,2017.0
1225,The ultimate Instant Pot pressure cooker cookbook : 200 easy foolproof recipes,Cooking,3.5,2017.0
1226,Don't Let Go ,Fiction,4.0,2017.0
1227,The complete make-ahead cookbook : from appetizers to desserts : 500 recipes you can make in advance,Cooking,,2017.0
1228,Collaborating with the enemy : how to work with people you don't agree with or like or trust,Business & Economics,,2017.0
1229,How to be everything : a guide for those who (still) don't know what they want to be when they grow up,Self-Help,4.0,2013.0
1230,Lost souls : a Cainsville novella,Fiction,3.5,2018.0
1231,Real friends,Juvenile Nonfiction,4.5,2017.0
1232,Saga. Volume seven,Comics & Graphic Novels,4.0,2017.0
1233,The chemist : a novel,Fiction,4.0,2016.0
1234,The sun is also a star,Young Adult Fiction,4.0,2015.0
1235,Eat to live : the amazing nutrient-rich program for fast and sustained weight loss,Health & Fitness,4.0,2011.0
1236,The beguiled : a novel,Fiction,3.0,2017.0
1237,The book thief,,,
1238,The coldest city,Comics & Graphic Novels,2.5,2017.0
1239,Unti Ilona Andrews #3 ,Fiction,4.5,2010.0
1240,Captain Underpants and the attack of the talking toilets : another epic novel,Juvenile Fiction,4.0,1999.0
1241,Captain Underpants and the preposterous plight of the purple potty people,,,
1242,Good Daughter ,,,
1243,Essential Instant Pot Cookbook ,Cooking,3.0,2018.0
1244,Halloween heroes!,Juvenile Fiction,,2017.0
1245,Mississippi blood,Fiction,5.0,2017.0
1246,One Native life,Biography & Autobiography,4.5,2009.0
1247,Silver Mask ,Juvenile Fiction,4.5,2017.0
1248,The Rose Society : a young elites novel,Young Adult Fiction,4.0,2015.0
1249,The substitute,Fiction,3.5,2017.0
1250,The woman in cabin 10 [large print],Fiction,3.5,2017.0
1251,Quick & easy ketogenic cooking : time-saving paleo recipes and meal plans to improve your health and help you lose weight,Cooking,5.0,2017.0
1252,Prince Charles : the passions and paradoxes of an improbable life,Biography & Autobiography,3.5,2017.0
1253,The Rome affair,Fiction,5.0,2017.0
1254,Barron's IELTS practice exams : with audio CDs,,,
1255,Demigods & magicians,Juvenile Fiction,4.5,2016.0
1256,Frommer's Yellowstone & Grand Teton National Parks,Travel,,2017.0
1257,How to murder your life : a memoir,,,
1258,Montreal & Quebec City : colourguide,Travel,,2005.0
1259,Xenocide,Fiction,3.5,2009.0
1260,Yoga for a world out of balance : teachings on ethics and social action,Health & Fitness,4.5,2011.0
1261,Do I make myself clear? : why writing well matters,,,
1262,"In a dark, dark wood [large print]",Fiction,3.5,2016.0
1263,Mistborn. The final empire,,,
1264,"Thanos. Vol. 1, Thanos returns",Comics & Graphic Novels,5.0,2017.0
1265,The case for impeachment,Political Science,4.5,2018.0
1266,The shack [large print] : [where tragedy confronts eternity],Religion,3.5,2012.0
1267,"The 5 second rule : transform your life, work, and confidence with everyday courage",Self-Help,5.0,2017.0
1268,"Reality Fitness: an Incremental, Achievable, and Sustainable Weight Loss Method ",Medical,4.0,2018.0
1269,The lying game,Juvenile Fiction,3.5,2011.0
1270,Daring to drive : a Saudi woman's awakening,,,
1271,The cafe by the sea : a novel,Fiction,3.5,2017.0
1272,The immortal life of Henrietta Lacks,Science,4.0,2010.0
1273,Girl Who Takes an Eye for an Eye ,Fiction,3.5,2017.0
1274,IKEA Hacks ,House & Home,,2008.0
1275,Millionaire teacher : the nine rules of wealth you should have learned in school,,,
1276,"The happiness project : or, Why I spent a year trying to sing in the morning, clean my closets, fight right, read Aristotle, and generally have more fun",Self-Help,3.0,2012.0
1277,Your money or your life : 9 steps to transforming your relationship with money and achieving financial independence,Business & Economics,4.0,2019.0
1278,The fallen,Fiction,5.0,2019.0
1279,Behold the dreamers : a novel,Fiction,4.0,2017.0
1280,Keeping My Sisters' Secrets: the Moving True Story of Three Sisters Born....... ,Biography & Autobiography,3.5,2017.0
1281,"The wealthy barber returns : significantly older and marginally wiser, David Chilton offers his unique perspectives on the world of money",Business & Economics,3.0,2002.0
1282,Fierce kingdom,Fiction,3.5,2018.0
1283,The breakdown,,,
1284,The ultimatum,Fiction,5.0,2017.0
1285,Make your bed : little things that can change your life... and maybe the world,,,
1286,"The biology of belief : unleashing the power of consciousness, matter & miracles",Self-Help,4.5,2010.0
1287,The glass castle : a memoir,Biography & Autobiography,4.5,2019.0
1288,Final girls : a novel,,,
1289,The universe has your back : transform fear to faith,"Body, Mind & Spirit",3.5,2016.0
1290,Undoctored : how you can seize control of your health and become smarter than your doctor,,,
1291,Attack on Titan. 22,Comics & Graphic Novels,3.5,2018.0
1292,Gold Rush Pups! (PAW Patrol) ,Juvenile Fiction,5.0,2017.0
1293,"Everybody lies : big data, new data and what the Internet can tell us about who we really are",Social Science,4.0,2017.0
1294,"Family favorite casserole recipes : 103 comforting breakfast casseroles, dinner ideas, and desserts everyone will love",Cooking,,2018.0
1295,Justice League vs. Suicide Squad,Comics & Graphic Novels,4.0,2017.0
1296,Outliers : the story of success,Psychology,4.0,2008.0
1297,Ship of the Dead ,Juvenile Fiction,4.5,2017.0
1298,The sunshine sisters,Fiction,3.5,2017.0
1299,Crime scene : a novel,Fiction,3.0,2017.0
